ID:S28             	L54	V1:	Bella non è costei,

ID:S28             	L55	V2:	Ma la beltade istessa,

ID:S28             	L56	V3:	Perche fà bello ciò, ch’à lei s’appressa.

ID:S28             	L57	V4:	E quanto ella comparte i dolci sguardi,

ID:S28             	L58	V5:	E le parole, e’l riso,

ID:S28             	L59	V6:	E l’altre gratie, Amor del lieto viso,

ID:S28             	L60	V7:	Di cui più m’invaghisci, ove più m’ardi;

ID:S28             	L61	V8:	Tanto sol questo mondo amaro, e vile

ID:S28             	L62	V9:	Mi par vago, e gentile.

