ID:E2              	L21	V1:	Come cristallo in monte,
ID:VE3             	L41	V1:	Come cristallo in monte
ID:S28             	L61	V1:	Come cristallo in monte
ID:S50             	L81	V1:	Come cristallo in monte
ID:S141            	L101	V1:	Come cristallo in monte
ID:S166            	L121	V1:	Come cristallo in monte
ID:S169            	L141	V1:	Come cristallo in monte
ID:Trm0327b-Alto   	L194	V1:	Come cristallo in monte

ID:E2              	L22	V2:	l’orgoglio, in voi s’indura,
ID:VE3             	L42	V2:	L’orgoglio in voi s’indura,
ID:S28             	L62	V2:	L’orgoglio in voi s’indura,
ID:S50             	L82	V2:	L’orgoglio in voi s’indura,
ID:S141            	L102	V2:	L’orgoglio in voi s’indura,
ID:S166            	L122	V2:	L’orgoglio in voi s’indura,
ID:S169            	L142	V2:	L’orgoglio in voi s’indura,
ID:Trm0327b-Alto   	L195	V2:	L’orgoglio in voi s’indura

ID:E2              	L23	V3:	Donna bella, e crudele, ^superba^ oltra misura :
ID:VE3             	L43	V3:	Donna bella, e crudele oltra misura.
ID:S28             	L63	V3:	Donna bella, e crudele oltra misura.
ID:S50             	L83	V3:	Donna bella crudele, oltra misura:
ID:S141            	L103	V3:	Donna bella, e crudele oltra misura.
ID:S166            	L123	V3:	Donna bella, e crudele oltra misura.
ID:S169            	L143	V3:	Donna bella, e crudele oltra misura.
ID:Trm0327b-Alto   	L196	V3:	Donna bella e crudel oltra misura

ID:E2              	L24	V4:	In me l’amore affina,
ID:VE3             	L44	V4:	In me l’amore affina,
ID:S28             	L64	V4:	In me l’amore affina,
ID:S50             	L84	V4:	In me l’Amore affina,
ID:S141            	L104	V4:	In me l’amore affina,
ID:S166            	L124	V4:	In me l’amore affina,
ID:S169            	L144	V4:	In me l’amore affina,
ID:Trm0327b-Alto   	L197	V4:	In me l’amore affina

ID:E2              	L25	V5:	Come or lucente infiamma,
ID:VE3             	L45	V5:	Com’or lucente infiamma,
ID:S28             	L65	V5:	Com’or lucente in fiamma;
ID:S50             	L85	V5:	Com’or lucente in fiamma,
ID:S141            	L105	V5:	Com’or lucente in fiamma:
ID:S166            	L125	V5:	Com’or lucente in fiamma:
ID:S169            	L145	V5:	Com’or lucente infiamma:
ID:Trm0327b-Alto   	L198	V5:	Com’hor lucente infiamma

ID:E2              	L26	V6:	e se gela il cor vostro <del>agghiaccia</del>, ‘l mio s’infiamma :
ID:VE3             	L46	V6:	[ABSENT]
ID:S28             	L66	V6:	E se gela il cor vostro il mio s’infiamma.
ID:S50             	L86	V6:	E se gela il cor vostro, il mio s’infiamma.
ID:S141            	L106	V6:	E se gela il cor vostro il mio s’infiamma.
ID:S166            	L126	V6:	E se gela il cor vostro il mio s’infiamma.
ID:S169            	L146	V6:	E se gela il cor vostro il mio s’infiamma.
ID:Trm0327b-Alto   	L199	V6:	E se gela il cor vostro il mio s'infiamma

ID:E2              	L27	V7:	Ne quella algente brina
ID:VE3             	L47	V7:	Ne quella algente brina
ID:S28             	L67	V7:	Nè quella algente brina
ID:S50             	L87	V7:	Ne quella algente brina
ID:S141            	L107	V7:	Nè quella algente brina
ID:S166            	L127	V7:	Nè quella algente brina
ID:S169            	L147	V7:	Nè quella algente brina
ID:Trm0327b-Alto   	L200	V7:	Ne quell’algente brina

ID:E2              	L28	V8:	struggi. p[er]ò: ma nel’istesso loco
ID:VE3             	L48	V8:	Struggo però, ma ne l’istesso loco
ID:S28             	L68	V8:	Struggo però, ma ne l’istesso loco
ID:S50             	L88	V8:	Struggo però, ma ne l’istesso loco,
ID:S141            	L108	V8:	Struggo però, ma ne l’istesso loco
ID:S166            	L128	V8:	Struggo però, ma ne l’istesso loco
ID:S169            	L148	V8:	Struggo però, ma ne l’istesso loco
ID:Trm0327b-Alto   	L201	V8:	Struggo però ma ne l’istesso loco

ID:E2              	L29	V9:	Manterria fede eterna <del>il gi</del> al gelo il foco :
ID:VE3             	L49	V9:	Manterria fede eterna al gelo il foco.
ID:S28             	L69	V9:	Manterria fede eterna al gelo il foco.
ID:S50             	L89	V9:	Manteria fede eterna al gelo il foco.
ID:S141            	L109	V9:	Manterria fede eterna al gelo il foco.
ID:S166            	L129	V9:	Manterria fede eterna al gelo il foco.
ID:S169            	L149	V9:	Manterria fede eterna al gelo il foco.
ID:Trm0327b-Alto   	L202	V9:	Manteria fede eterna al gelo il foco.

