ID:S28             	L21	V1:	Perche di seno in seno

ID:S28             	L22	V2:	Così trasporti, Amore,

ID:S28             	L23	V3:	Questo vermiglio, lieto, e vago fiore?

ID:S28             	L25	V4:	Ben dei saper, che l’uno

ID:S28             	L26	V5:	Tutto d’honesto foco,

ID:S28             	L27	V6:	E pien di casto gelo, è l’altro loco.

ID:S28             	L29	V7:	Ma, s’egli danno alcuno

ID:S28             	L30	V8:	Non hà tra fiamma, e ghiaccio,

ID:S28             	L31	V9:	Perche tra l’uno, e l’altro i mi dispiaccio?

