ID:S87             	L136	V1:	Deh perche amor chi voi con pari affetto

ID:S87             	L137	V2:	Non ami, e sospirar che non sospiri?

ID:S87             	L138	V3:	E distillare in lagrime i martiri

ID:S87             	L139	V4:	Per tal, che mai per voi non bagni il petto?

ID:S87             	L141	V5:	E ’npallidir per chi non cangi aspetto?

ID:S87             	L142	V6:	E volger gli occhi in cosi dolci giri

ID:S87             	L143	V7:	Ad un crudel, ch’in voi non gli raggiri

ID:S87             	L144	V8:	Com’à suo caro, e desiato oggetto?

ID:S87             	L146	V9:	S’Amor à voglia altrui s’estingue, e infiamma

ID:S87             	L147	V10:	Spengete il vostro mal gradito, e rio,

ID:S87             	L148	V11:	E de begli occhi rasciugate il duolo.

ID:S87             	L150	V12:	E geli il cor gentil per lungo oblio,

ID:S87             	L151	V13:	E se pur dee sentir novella fiamma,

ID:S87             	L152	V14:	S’accenda si, mà non s’accenda ei solo.

